LSOA,objectid,lsoa11nm,lsoa11nmw,st_areashape,st_lengthshape,geometry,Postcode,LSOA2,Latitude,Longitude,Postcode District
E01000722,5,Bromley 023A,Bromley 023A,569162.040237415,3524.3085272196276,"POLYGON ((0.1146063324029615 51.39254569837126, 0.1118531836860923 51.394652484416, 0.105767719569885 51.3946406466956, 0.1023739969566695 51.38667287109856, 0.09870256994825907 51.3861015779766, 0.09878098365703146 51.38604488416566, 0.1144524414029934 51.3881088167664, 0.1147181113470368 51.39191797944903, 0.1146063324029615 51.39254569837126))",BR5 2EE,E00003519,51.389834,0.107552,BR5
E01033603,31,Westminster 009I,Westminster 009I,26843.034372895,769.6841920494579,"POLYGON ((-0.1651940481248741 51.52233499611715, -0.166756542625279 51.52354270589024, -0.1675433323715954 51.52170092512766, -0.1671336665690613 51.5204804695884, -0.1651940481248741 51.52233499611715))",NW1 5DF,E00023578,51.521158,-0.167708,NW1
E01003626,37,Newham 015B,Newham 015B,84191.76571735,1413.5161398638218,"POLYGON ((0.05359712608222828 51.53900329003142, 0.05688067745855684 51.53945470993083, 0.06179660272775702 51.54016381763051, 0.05919647339607488 51.54211964697223, 0.05698861831721766 51.54095429082152, 0.05372198676005035 51.53975354055346, 0.05359712608222828 51.53900329003142))",E6  2AG,E00018285,51.540082,0.057697000000000005,E6 
E01003989,38,Southwark 018C,Southwark 018C,242134.008987625,2505.869788056019,"POLYGON ((-0.05785501055406365 51.48431638527669, -0.06175483875726125 51.4871915697838, -0.06771499469599686 51.48457290260157, -0.07068122623136328 51.48308246730336, -0.06684045838886794 51.48202008013826, -0.06301676569733108 51.48090951405328, -0.06341239316556019 51.48399026336247, -0.05785501055406365 51.48431638527669))",SE151RZ,E00020073,51.480043,-0.064614,SE1
E01004197,41,Tower Hamlets 002A,Tower Hamlets 002A,204102.320562005,1785.9853302586355,"POLYGON ((-0.0525324737766623 51.53480344851913, -0.05281357909748124 51.53488955948571, -0.05727266555043619 51.534427657583, -0.0588247049069559 51.5341050989344, -0.05982488122675451 51.53215874251791, -0.05973290265072231 51.5320208905823, -0.05725793726037418 51.53115400751482, -0.05218948464150719 51.53033348517197, -0.05150431836464544 51.53053155796563, -0.0525324737766623 51.53480344851913))",E2  9HJ,E00021170,51.533201,-0.053390999999999994,E2 
E01001673,46,Greenwich 006B,Greenwich 006B,226060.61502981,2789.836032888757,"POLYGON ((0.09484693935418946 51.48851920270303, 0.08857171894135242 51.48877739724391, 0.09254429999021438 51.49178306244379, 0.08550850972252702 51.48982139216749, 0.08469933789169845 51.4874083713344, 0.08703631902272632 51.4870106800538, 0.09422359816987305 51.48645140228951, 0.09722684906716683 51.48759565597528, 0.09484693935418946 51.48851920270303))",SE181SA,E00008340,51.489438,0.086516,SE1
E01004606,53,Wandsworth 006C,Wandsworth 006C,107761.9250143,1280.0735557567857,"POLYGON ((-0.2180430017167896 51.46810486749904, -0.2203839727503722 51.46974995855559, -0.2243694110924673 51.46815277128625, -0.2243315769656215 51.46660891207648, -0.2207017940192232 51.4662276127168, -0.2180430017167896 51.46810486749904))",SW151DP,E00023217,51.466894,-0.222404,SW1
E01001213,54,Ealing 023A,Ealing 023A,154721.816409925,2166.780491888755,"POLYGON ((-0.3755564245671254 51.51599200066565, -0.3802577276438572 51.516422128498, -0.3800928290115476 51.51177177024426, -0.3783840395008864 51.51180685657857, -0.3754344689423875 51.5153071202223, -0.3718817623961104 51.51370492538858, -0.3722856724544291 51.5157404485151, -0.3755564245671254 51.51599200066565))",UB1 2JD,E00006077,51.513974,-0.375832,UB1
E01003600,67,Newham 021B,Newham 021B,118103.947862925,1640.4807702134735,"POLYGON ((0.02202825545997067 51.53233250340784, 0.01779289073189751 51.53379818228666, 0.01759898150517449 51.5333599320707, 0.017943454528618 51.53140414691224, 0.01929379381869247 51.53103080189525, 0.02421363460637602 51.52927435496069, 0.02534673152386739 51.52927376591551, 0.02591707853847201 51.52956280615361, 0.02202825545997067 51.53233250340784))",E13 9HJ,E00018126,51.529516,0.025156,E13
E01004216,68,Tower Hamlets 030B,Tower Hamlets 030B,88757.8692891,1236.7509009165383,"POLYGON ((-0.005912793758553197 51.49551231852156, -0.006929570120645328 51.49539952678881, -0.008207333380585281 51.49418022488986, -0.008011070804584439 51.49128929562515, -0.003674295885225048 51.49287369970983, -0.005912793758553197 51.49551231852156))",E14 3HS,E00021258,51.492265,-0.007741,E14
E01004750,70,Westminster 023E,Westminster 023E,312080.509699505,2290.4349374609474,"POLYGON ((-0.1426082943047119 51.49657762648843, -0.1462833788601764 51.49723350739172, -0.1485139421946901 51.49475156929401, -0.1503045375335412 51.49332671628084, -0.1497117295403788 51.49082414903498, -0.1484131099964648 51.49012026270272, -0.1468248899911127 51.48921407908566, -0.1434039735508564 51.49297160828425, -0.1412358962725348 51.49455581560986, -0.1426082943047119 51.49657762648843))",SW1V1NH,E00024054,51.494334,-0.143156,SW1
E01003390,71,Merton 018D,Merton 018D,61535.40062537,1066.9175703284743,"POLYGON ((-0.1656642165711016 51.40602812035537, -0.1629195381235015 51.4065936018746, -0.1633114077953975 51.40909938209201, -0.1678987284839664 51.40685342177591, -0.1656642165711016 51.40602812035537))",CR4 2JL,E00017149,51.408148,-0.162495,CR4
E01003153,83,Lambeth 029D,Lambeth 029D,95615.72259055,1616.994165077138,"POLYGON ((-0.1283003454327695 51.4335637910396, -0.1292344527366909 51.43210803320964, -0.125766052430139 51.43297386363145, -0.12527756538531 51.43784594327119, -0.1268766556960783 51.43817758667885, -0.1283003454327695 51.4335637910396))",SW161EG,E00015908,51.437388,-0.126977,SW1
E01000760,88,Bromley 034B,Bromley 034B,511426.491490415,3603.3131919824837,"POLYGON ((-0.005793446586840651 51.36835926407003, -0.006898215270718698 51.36322082792482, 0.001043011331850901 51.36148703217151, -0.0001273663299626523 51.36795374031759, 0.003875258647848458 51.37044022434581, 0.002122372522130622 51.37437195485791, -0.002212734315317067 51.37054651409926, -0.005793446586840651 51.36835926407003))",BR4 9HH,E00003733,51.364605,-0.005745,BR4
E01002718,96,Islington 014B,Islington 014B,93489.292049235,1395.1141723738651,"POLYGON ((-0.08412326187684727 51.54376742284648, -0.08996761996041945 51.54394639681967, -0.08842567389234732 51.54218603238402, -0.08562507107473483 51.539882564545, -0.08534529187525243 51.54068591683714, -0.08412326187684727 51.54376742284648))",N1  3NY,E00013542,51.542313,-0.086878,N1 
E01001971,106,Haringey 001B,Haringey 001B,117746.007609015,1530.5728825961571,"POLYGON ((-0.1120409156582517 51.60163091073461, -0.1118772497306254 51.60330415456683, -0.1189866911500417 51.60329048166233, -0.120348992467107 51.60281675150222, -0.115831405445482 51.60099478885684, -0.1118733734683928 51.60077950954923, -0.1120409156582517 51.60163091073461))",N22 4PS,E00009874,51.603014,-0.11866700000000001,N22
E01004448,119,Waltham Forest 018D,Waltham Forest 018D,581141.231896355,3437.403255323757,"POLYGON ((-0.03128294171093052 51.57739463902384, -0.0380136153644151 51.57844219145663, -0.04818004276158096 51.57193078917648, -0.02852492046624173 51.57288318483387, -0.02800590763918277 51.57303778083335, -0.02985209671296812 51.57616406858812, -0.03128294171093052 51.57739463902384))",E17 8RR,E00022362,51.576121,-0.030617000000000002,E17
E01001486,121,Enfield 025C,Enfield 025C,211483.12186455,2005.5002841141727,"POLYGON ((-0.047510254439505 51.62500551782146, -0.05238171995505742 51.62522523479846, -0.0557590039120379 51.62433580853003, -0.05381038064022486 51.62367762443608, -0.0537366013796574 51.62367628970852, -0.05289589954378931 51.62215864197668, -0.0490246667649487 51.62175841607645, -0.04459512528466957 51.62133297050475, -0.04407791250697806 51.62213118991087, -0.047510254439505 51.62500551782146))",N9  0WE,E00007379,51.623781,-0.054876999999999995,N9 
E01004294,158,Tower Hamlets 026B,Tower Hamlets 026B,211483.919567305,2058.441243940339,"POLYGON ((-0.06522698180732145 51.50745447542462, -0.06089459011103605 51.50878437140646, -0.06022646329901066 51.50946932547759, -0.0604873482012212 51.50944550088696, -0.06629962039635456 51.51122360714427, -0.06685504133937241 51.51118526047798, -0.0727385593245231 51.51080623677804, -0.07320466988681994 51.51000376282142, -0.06522698180732145 51.50745447542462))",E98 1NP,E00021625,51.508024,-0.06439299999999999,E98
E01003268,193,Lewisham 023B,Lewisham 023B,290786.797374825,2244.55232888809,"POLYGON ((0.01737511408997049 51.44360393520871, 0.01468056055872805 51.44627471530217, 0.01159885870603557 51.44583172795858, 0.005396936440922166 51.44541774728069, 0.01035320846026515 51.44052841765414, 0.01737511408997049 51.44360393520871))",SE129LJ,E00016493,51.445651,0.015658000000000002,SE1
E01002463,230,Hillingdon 013B,Hillingdon 013B,609358.40864481,3177.93309198471,"POLYGON ((-0.4438859694783046 51.55815024573166, -0.4498837369924054 51.56211037059962, -0.4526447529322461 51.56025372210291, -0.4569336161004777 51.5594723224004, -0.4614208984899953 51.55647558069111, -0.4572746075044118 51.55501570264207, -0.4479366254553191 51.55402700383275, -0.4438859694783046 51.55815024573166))",UB108TE,E00012270,51.559353,-0.44792,UB1
E01000143,233,Barnet 041D,Barnet 041D,157450.355943455,1640.9046327961807,"POLYGON ((-0.2058540459213197 51.55602162540135, -0.2059853977897637 51.56047837749946, -0.2095704312711006 51.56014242411044, -0.2107226813037805 51.55965375326171, -0.2115701715427691 51.55619546599054, -0.2108197220763073 51.55646543579753, -0.2058540459213197 51.55602162540135))",NW2 2RU,E00000684,51.556542,-0.21130900000000002,NW2
E01000471,239,Brent 026A,Brent 026A,113539.769816825,1461.17053574085,"POLYGON ((-0.2904761147890176 51.53570553713559, -0.2892684265336508 51.53966786310982, -0.2915719832815087 51.53874448001408, -0.295344568687849 51.53753366369127, -0.2932546351280432 51.53497733581573, -0.2904761147890176 51.53570553713559))",HA0 1NB,E00002321,51.53791,-0.289718,HA0
E01002272,245,Havering 014A,Havering 014A,210289.30452774,2029.879801942328,"POLYGON ((0.2115139474598111 51.57515220346973, 0.2081000948185779 51.57802647741367, 0.2057349814954597 51.57543280140049, 0.201575861226703 51.57434398262709, 0.2079554973157451 51.57170083015961, 0.2115139474598111 51.57515220346973))",RM112AY,E00011358,51.574135999999996,0.20770999999999998,RM1
E01002275,247,Havering 015D,Havering 015D,419239.892990845,3378.168083989079,"POLYGON ((0.2343023149935455 51.563185650696, 0.2356352297234982 51.5683981301306, 0.2321245114945463 51.56650010635079, 0.229288778644882 51.57015700419267, 0.2197193968173153 51.56948953931182, 0.2196875086502895 51.56883443808115, 0.2240398595877095 51.56705675069483, 0.2298734413545082 51.56422428884731, 0.2333814020584687 51.56254160759106, 0.2343023149935455 51.563185650696))",RM113LB,E00011336,51.566965,0.226438,RM1
E01002273,258,Havering 015C,Havering 015C,777444.377805355,4671.3383787158255,"POLYGON ((0.2492434995630605 51.57320109688844, 0.2378304656324693 51.57397859570184, 0.2297945629811581 51.57023515882893, 0.229288778644882 51.57015700419267, 0.2321245114945463 51.56650010635079, 0.2356352297234982 51.5683981301306, 0.2343023149935455 51.563185650696, 0.240630762956227 51.56863200790743, 0.2467498817375949 51.56799579856877, 0.2492434995630605 51.57320109688844))",RM113LP,E00011337,51.570522,0.235632,RM1
E01004276,261,Tower Hamlets 031C,Tower Hamlets 031C,81472.48141861,1431.4412637629923,"POLYGON ((-0.01330865788323732 51.48719664888914, -0.02003508257095667 51.48885895097172, -0.02157321144409329 51.48767280840108, -0.0216562479480529 51.48761133306591, -0.01317653041038722 51.48599107207455, -0.01330865788323732 51.48719664888914))",E14 3WW,E00021537,51.487006,-0.017434,E14
E01002289,265,Havering 022B,Havering 022B,262354.687051675,3363.782002751858,"POLYGON ((0.2377695823768046 51.55515907982575, 0.2395136416468636 51.55907294113201, 0.2322182420566732 51.55741723815583, 0.2254545017395483 51.55536082764969, 0.2271141909563019 51.55276351068778, 0.2296863773019704 51.55581378993953, 0.2316985511543185 51.55222790621487, 0.2319894260783334 51.55522171053134, 0.2377695823768046 51.55515907982575))",RM126ED,E00011425,51.553937,0.22821100000000002,RM1
E01001501,266,Enfield 036E,Enfield 036E,300220.611819845,2642.131358977879,"POLYGON ((-0.1156781305836267 51.61246314274493, -0.1100936435411349 51.61233405578044, -0.1081737436051184 51.61238055545673, -0.1091756952379375 51.61431162382033, -0.1034646673746756 51.61447126918515, -0.1078182073299069 51.6170100192377, -0.1106611581840517 51.61821529539084, -0.1120372821725696 51.61870845977201, -0.1156781305836267 51.61246314274493))",N13 4ZE,E00007439,51.618432,-0.112266,N13
E01002208,267,Harrow 025A,Harrow 025A,286757.104548115,2379.773052757633,"POLYGON ((-0.3719686788706528 51.58186821479597, -0.3731129504893418 51.58383872049473, -0.379585057471803 51.58046987586587, -0.3802388374049381 51.57576989314846, -0.3771536773965496 51.57527483120812, -0.3719686788706528 51.58186821479597))",HA5 5BE,E00011021,51.581402000000004,-0.374873,HA5
E01001589,268,Greenwich 012B,Greenwich 012B,173800.78557027,2145.9693058462044,"POLYGON ((0.04268427837778635 51.48707608211593, 0.0412932580987343 51.48813852333053, 0.03509688158822526 51.48773788101371, 0.03159403750558991 51.48688576780177, 0.03305014275910573 51.48571450930469, 0.03673878246107205 51.48643457622988, 0.03739380704067599 51.48352544174833, 0.04268427837778635 51.48707608211593))",SE7 8LD,E00007928,51.488801,0.038908,SE7
E01004201,269,Tower Hamlets 002D,Tower Hamlets 002D,127612.191247515,1642.8321727956597,"POLYGON ((-0.05150431836464544 51.53053155796563, -0.04536014250126424 51.53144193752223, -0.04448070188077213 51.53185024101502, -0.0525324737766623 51.53480344851913, -0.05150431836464544 51.53053155796563))",E2  9QA,E00021143,51.53188,-0.045835,E2 
E01004280,270,Tower Hamlets 032A,Tower Hamlets 032A,143100.32268868,1556.300537443516,"POLYGON ((-0.02278088495451029 51.49663762382746, -0.02448240080024675 51.49808338008354, -0.02745387958076295 51.49786884631887, -0.0278065946810038 51.49546421518437, -0.02701654496589202 51.49417615968046, -0.02710067108585409 51.49385840107212, -0.02630281323572097 51.49254352222103, -0.02437774621653706 51.49356487151019, -0.02278088495451029 51.49663762382746))",E14 8ND,E00167133,51.497846,-0.027755000000000002,E14
E01004281,271,Tower Hamlets 031D,Tower Hamlets 031D,153320.813594535,1518.176114988421,"POLYGON ((-0.01519334036042402 51.49342334397769, -0.0172759474607842 51.49390443981022, -0.022485209170601 51.49341136302763, -0.02243636329014076 51.49200053405647, -0.01953772200176134 51.4904385406442, -0.0156082084196269 51.49073591550741, -0.01519334036042402 51.49342334397769))",E14 9YA,E00021525,51.49047,-0.020697999999999998,E14
E01004200,272,Tower Hamlets 005A,Tower Hamlets 005A,62091.553614055,1006.6262582443896,"POLYGON ((-0.05973290265072231 51.5320208905823, -0.05982488122675451 51.53215874251791, -0.06408101789361893 51.53146068414364, -0.06261688491890678 51.52956564087843, -0.05988719445286706 51.52967783803989, -0.05973290265072231 51.5320208905823))",E2  7SY,E00021155,51.531525,-0.061825,E2 
