,LSOA,crime_per_1000,Postcode,LSOA2,Latitude,Longitude
0,E01000006,59.21820303383897,IG119TH,E00000049,51.540223,0.086372
1,E01000007,284.5901639344262,IG118JD,E00000040,51.538691,0.075934
2,E01000008,125.07836990595611,IG118LT,E00000048,51.541259000000004,0.071061
3,E01000009,143.92630972941853,IG118EA,E00000054,51.539282,0.08162799999999999
4,E01000010,417.1616130040638,IG118ZB,E00000062,51.537377,0.07901799999999999
5,E01000011,60.150375939849624,IG118RH,E00000064,51.543769,0.07860299999999999
6,E01000012,67.63035622096025,IG118ND,E00000045,51.542122,0.072615
7,E01000013,187.6484560570071,RM9 5RL,E00000096,51.542382,0.146624
8,E01000014,71.12462006079028,RM9 5DT,E00000085,51.545875,0.143024
9,E01000015,49.500831946755405,RM108ED,E00000080,51.544118,0.157898
10,E01000016,65.65656565656566,RM108PX,E00000076,51.549113,0.148384
11,E01000017,65.64690885914595,RM9 5XH,E00000072,51.550643,0.145369
12,E01000018,70.267131242741,RM108NR,E00000083,51.545871999999996,0.150539
13,E01000019,62.71536871123364,RM8 2PA,E00000108,51.559064,0.123403
14,E01000020,57.01078582434515,RM8 3SS,E00000123,51.554606,0.125749
15,E01000021,85.95717884130983,RM8 2WP,E00000117,51.556326,0.11915
16,E01000022,44.42825928623452,RM8 2TT,E00000122,51.55359,0.11926800000000001
17,E01000023,180.0660792951542,RM8 2FB,E00000127,51.549069,0.113187
18,E01000024,45.9479015918958,RM8 2FZ,E00000102,51.551355,0.11956800000000001
19,E01000025,58.98533007334964,RM8 2YR,E00000131,51.549795,0.11531199999999998
20,E01000027,102.12053571428571,RM6 5QL,E00000157,51.590018,0.140684
21,E01000028,68.8360450563204,RM6 5LU,E00000164,51.584998,0.131411
22,E01000029,56.03448275862069,RM6 6YJ,E00000143,51.580052,0.13536600000000001
23,E01000030,108.85518590998043,RM6 5ER,E00000142,51.581941,0.135844
24,E01000031,79.51161405598572,RM6 6AE,E00000152,51.573234,0.138899
25,E01000032,120.23016353725015,RM6 6UL,E00000153,51.573892,0.13485999999999998
26,E01000033,53.69595536959554,RM107DB,E00000169,51.554907,0.160976
27,E01000034,66.09947643979056,RM107AL,E00000170,51.554594,0.165765
28,E01000035,133.6662749706228,RM108SX,E00000173,51.550256,0.158607
29,E01000036,91.1062906724512,RM107XH,E00000178,51.54571,0.164694
30,E01000037,60.518731988472624,RM7 0SR,E00000189,51.56364,0.178402
31,E01000038,57.809330628803245,RM7 0AS,E00000186,51.564296,0.17307999999999998
32,E01000039,41.61603888213852,RM7 0YG,E00000194,51.557178,0.17678
33,E01000040,97.7859778597786,IG119QZ,E00000216,51.535934999999995,0.100899
34,E01000041,41.935483870967744,RM9 4TJ,E00000207,51.538445,0.11533399999999999
35,E01000042,70.46281851274051,RM9 4TH,E00000210,51.536798,0.110917
36,E01000043,91.61931818181817,IG119SS,E00000230,51.534664,0.097048
37,E01000044,50.9733606557377,IG117QL,E00000201,51.536231,0.088338
38,E01000045,149.82164090368607,RM9 4XP,E00000199,51.533532,0.11155899999999999
39,E01000046,47.382920110192835,RM9 4ER,E00000208,51.536497,0.118676
40,E01000048,35.0974930362117,IG117ST,E00000239,51.531551,0.08351
41,E01000049,112.8259712613092,IG117TX,E00000244,51.530668,0.088142
42,E01000050,72.82366071428571,IG117YZ,E00000249,51.535747,0.083745
43,E01000051,42.72959183673469,IG117TB,E00000251,51.533755,0.084
44,E01000052,73.6052508204407,IG111EL,E00000252,51.534517,0.088173
45,E01000053,92.87054409005628,RM9 6WB,E00000278,51.532058,0.14616700000000002
46,E01000054,64.75225225225226,RM9 6AL,E00000294,51.535948,0.133575
47,E01000055,69.25880923450791,RM9 4JB,E00000273,51.535103,0.123643
48,E01000056,131.69364881693647,RM9 6XG,E00000276,51.533844,0.135033
49,E01000057,87.40105540897098,RM9 4TR,E00000287,51.539251,0.12799000000000002
50,E01000058,58.17529472065607,RM9 6BX,E00175114,51.53907,0.13248
51,E01000059,60.75949367088607,RM9 6GD,E00000268,51.53516,0.14621199999999998
52,E01000060,141.4595452141724,RM107HX,E00000301,51.559166,0.154325
53,E01000061,101.87667560321715,RM107HB,E00000327,51.562367,0.160205
54,E01000062,62.37373737373737,RM107LB,E00000322,51.552114,0.150977
55,E01000063,51.4216575922565,RM8 3DL,E00000303,51.557122,0.143149
56,E01000064,72.28338918142651,RM107NF,E00000314,51.554491999999996,0.157105
57,E01000065,65.25522041763341,RM9 9FE,E00000318,51.553492999999996,0.141954
58,E01000066,57.92079207920792,IG119EU,E00000341,51.545564,0.10503499999999999
59,E01000067,57.62792922046867,IG119HF,E00000332,51.546671999999994,0.100918
60,E01000068,73.66771159874608,IG119UP,E00000350,51.540609,0.093471
61,E01000069,46.32675438596491,IG119PA,E00000339,51.54138,0.098626
62,E01000070,118.6359269932757,IG118XD,E00000337,51.545823999999996,0.094561
63,E01000071,59.104106180008294,IG119PQ,E00000348,51.540046999999994,0.09726699999999999
64,E01000072,110.62590975254732,RM9 4AX,E00000378,51.540126,0.11438800000000002
65,E01000073,66.37426900584795,RM8 2LX,E00000382,51.544738,0.116448
66,E01000074,51.306564690885914,RM8 2YH,E00000371,51.547528,0.122794
67,E01000075,102.64341957255344,RM9 5SD,E00000379,51.540982,0.12870499999999999
68,E01000076,47.10500490677134,RM9 4BD,E00000360,51.541379,0.120229
69,E01000077,86.53846153846153,RM8 2NS,E00000366,51.551387,0.126219
70,E01000078,67.5990675990676,RM9 5QP,E00000397,51.551311,0.130889
71,E01000079,50.64935064935065,RM9 5DJ,E00000409,51.547001,0.14190899999999998
72,E01000080,68.8360450563204,RM9 5XR,E00000405,51.549423,0.129892
73,E01000081,56.89149560117302,RM9 5JT,E00000403,51.549144,0.13784100000000002
74,E01000082,77.7158774373259,RM8 3AA,E00000414,51.554994,0.141506
75,E01000083,58.85650224215247,RM8 3ND,E00000394,51.551776000000004,0.126612
76,E01000084,137.78100072516315,RM9 6PD,E00000446,51.537979,0.146965
77,E01000085,83.81670533642692,RM109RB,E00000443,51.539473,0.15178
78,E01000086,62.675070028011206,RM9 6NH,E00000448,51.536962,0.145043
79,E01000087,158.10711665443876,RM109NE,E00000431,51.530648,0.152445
80,E01000088,73.46212506354854,RM109ER,E00000430,51.532684,0.158626
81,E01000089,58.314732142857146,RM109ES,E00000429,51.532109000000005,0.16051600000000002
82,E01000090,81.45065398335315,RM9 6LE,E00000434,51.516456,0.147625
83,E01000091,91.40369967355821,IG110LX,E00000456,51.526503999999996,0.10878299999999999
84,E01000092,138.88107956142818,IG110GX,E00175107,51.523214,0.107708
85,E01000093,113.82598331346841,IG110LF,E00000465,51.527772,0.09877899999999999
86,E01000094,88.25701624815362,IG110QZ,E00000477,51.527190999999995,0.11460999999999999
87,E01000095,253.55579868708972,IG110UE,E00000464,51.529596000000005,0.133753
88,E01000096,134.22131147540983,IG110WE,E00000474,51.531192,0.110153
89,E01000097,73.47876004592423,RM8 1RF,E00000485,51.562595,0.12654
90,E01000098,104.45757250268528,RM8 3YP,E00000489,51.559706,0.125669
91,E01000099,56.839186691312385,RM8 1RH,E00000488,51.562057,0.134421
92,E01000100,56.831566548881035,RM8 3JL,E00000495,51.559764,0.13588699999999998
93,E01000101,80.14142604596347,RM8 3HP,E00000498,51.559373,0.141048
94,E01000102,58.32813474734872,RM8 3AG,E00000502,51.557621000000005,0.135007
95,E01000103,52.63157894736842,RM109YN,E00000537,51.534171,0.166757
96,E01000104,101.22878876535987,RM109YX,E00000524,51.539231,0.16298800000000002
97,E01000105,163.68515205724506,RM109RH,E00000521,51.540349,0.1511
98,E01000106,119.66236345580933,RM109TB,E00000526,51.539021999999996,0.160671
